# ndr_routes.tsv - written by the map/road/composition editor.
# route	index	x	y	z	speed	flags
# Pull it into the repository with: python routecheck.py --pull
LocatorPatrol	0	1424.56	527.36	-987.55	0	spawn,fraction=looter,count=2,road=main
LocatorPatrol	1	1397.07	526.17	-976.69	0	
LocatorPatrol	2	1369.43	529.39	-966.66	0	
LocatorPatrol	3	1341.28	530.70	-958.10	0	
LocatorPatrol	4	1312.82	528.91	-950.98	0	
LocatorPatrol	5	1284.27	529.95	-946.06	0	
LocatorPatrol	6	1255.28	530.01	-943.60	0	
LocatorPatrol	7	1225.76	530.00	-942.00	0	
LocatorPatrol	8	1195.96	530.00	-940.57	0	
LocatorPatrol	9	1166.15	530.10	-940.38	0	
LocatorPatrol	10	1136.47	529.63	-942.09	0	
LocatorPatrol	11	1106.86	523.47	-944.90	0	
LocatorPatrol	12	1077.20	516.47	-947.83	0	
LocatorPatrol	13	1047.48	515.70	-950.82	0	
LocatorPatrol	14	1017.82	514.17	-953.21	0	
LocatorPatrol	15	988.87	512.17	-953.29	0	
LocatorPatrol	16	961.53	510.59	-950.61	0	
LocatorPatrol	17	935.25	505.70	-946.58	0	
LocatorPatrol	18	908.44	505.94	-941.43	0	
LocatorPatrol	19	881.33	503.07	-932.85	0	
LocatorPatrol	20	855.69	505.30	-919.09	0	
LocatorPatrol	21	832.35	504.57	-900.91	0	
LocatorPatrol	22	811.29	500.79	-879.87	0	
LocatorPatrol	23	792.39	499.01	-856.80	0	
LocatorPatrol	24	775.07	498.86	-832.51	0	
LocatorPatrol	25	758.50	498.39	-807.89	0	
LocatorPatrol	26	742.47	497.69	-783.07	0	
LocatorPatrol	27	726.77	497.26	-757.94	0	
LocatorPatrol	28	710.57	497.04	-732.94	0	
LocatorPatrol	29	693.20	497.21	-708.76	0	
LocatorPatrol	30	674.63	496.69	-685.49	0	
LocatorPatrol	31	655.20	495.39	-662.85	0	
LocatorPatrol	32	634.57	493.62	-641.50	0	
LocatorPatrol	33	611.94	493.62	-622.91	0	
LocatorPatrol	34	587.35	491.73	-607.64	0	
LocatorPatrol	35	561.44	490.24	-595.29	0	
LocatorPatrol	36	534.77	487.73	-585.36	0	
LocatorPatrol	37	507.59	487.53	-577.34	0	
LocatorPatrol	38	479.56	485.45	-571.41	0	
LocatorPatrol	39	450.43	484.67	-567.93	0	
LocatorPatrol	40	420.71	484.06	-565.85	0	
LocatorPatrol	41	390.89	482.84	-563.73	0	
LocatorPatrol	42	361.10	482.05	-561.13	0	
LocatorPatrol	43	331.35	482.83	-558.11	0	
LocatorPatrol	44	301.64	481.76	-554.95	0	
LocatorPatrol	45	272.07	482.45	-551.51	0	
LocatorPatrol	46	242.91	481.48	-546.50	0	
LocatorPatrol	47	214.19	479.27	-539.18	0	
LocatorPatrol	48	185.73	478.36	-530.24	0	
LocatorPatrol	49	157.65	477.78	-520.13	0	
LocatorPatrol	50	130.66	477.60	-507.97	0	
LocatorPatrol	51	105.64	477.25	-492.60	0	
LocatorPatrol	52	83.10	477.42	-473.70	0	
LocatorPatrol	53	63.55	475.94	-451.65	0	
LocatorPatrol	54	47.67	475.27	-426.84	0	
LocatorPatrol	55	36.27	474.66	-399.80	0	
LocatorPatrol	56	30.41	474.01	-371.31	0	
LocatorPatrol	57	29.75	474.36	-342.07	0	
LocatorPatrol	58	31.76	472.94	-312.53	0	
LocatorPatrol	59	34.16	472.34	-282.90	0	
LocatorPatrol	60	35.90	471.86	-253.21	0	
LocatorPatrol	61	35.54	471.34	-223.56	0	
LocatorPatrol	62	31.66	470.84	-194.30	0	
LocatorPatrol	63	24.24	470.26	-165.73	0	
LocatorPatrol	64	13.96	469.71	-137.99	0	
LocatorPatrol	65	1.18	469.08	-111.17	0	
LocatorPatrol	66	-13.59	468.87	-85.25	0	
LocatorPatrol	67	-30.01	468.36	-60.37	0	
LocatorPatrol	68	-48.73	468.19	-37.48	0	
LocatorPatrol	69	-70.66	467.65	-17.98	0	
LocatorPatrol	70	-95.81	467.48	-2.77	0	
LocatorPatrol	71	-123.33	467.06	7.70	0	
LocatorPatrol	72	-152.28	466.84	13.08	0	
LocatorPatrol	73	-181.83	466.57	13.92	0	
LocatorPatrol	74	-211.47	466.72	12.84	0	
LocatorPatrol	75	-241.09	466.70	13.40	0	
LocatorPatrol	76	-270.23	466.21	18.00	0	
LocatorPatrol	77	-297.48	465.85	28.06	0	
LocatorPatrol	78	-321.10	465.71	44.47	0	
LocatorPatrol	79	-340.85	462.26	66.00	0	
LocatorPatrol	80	-359.32	461.69	88.80	0	
LocatorPatrol	81	-380.33	462.05	108.29	0	
LocatorPatrol	82	-405.60	462.47	121.66	0	
LocatorPatrol	83	-433.91	462.27	129.22	0	
LocatorPatrol	84	-463.38	463.83	133.21	0	
LocatorPatrol	85	-493.03	463.75	136.08	0	
LocatorPatrol	86	-522.44	464.25	140.04	0	
LocatorPatrol	87	-551.52	466.52	146.16	0	
LocatorPatrol	88	-580.39	465.89	153.85	0	
LocatorPatrol	89	-608.92	466.41	162.64	0	
LocatorPatrol	90	-636.34	468.69	173.73	0	
LocatorPatrol	91	-661.88	468.69	188.41	0	
LocatorPatrol	92	-685.81	468.69	206.05	0	
LocatorPatrol	93	-707.69	464.91	223.86	0	
LocatorPatrol	94	-724.04	464.91	237.40	0	
LocatorPatrol	95	-733.64	464.91	245.36	0	
Convoy	0	-2352.29	489.89	-54.93	0	spawn,fraction=traitor,vehicle=mixed,count=1,road=main,kind=convoy
Convoy	1	-2324.31	485.68	-44.95	0	
Convoy	2	-2295.82	479.62	-36.34	0	
Convoy	3	-2267.11	468.25	-28.23	0	
Convoy	4	-2238.63	462.32	-19.29	0	
Convoy	5	-2210.60	461.95	-8.98	0	
Convoy	6	-2183.41	463.32	3.24	0	
Convoy	7	-2157.41	463.32	17.81	0	
Convoy	8	-2132.60	463.77	34.44	0	
